2026-05-08 10:03:25 | INFO | mode=benchmark | max_tokens=17000 | reporters=['davis-l-ct-cas', 'mass', 'mass-app-ct', 'mass-app-dec', 'mass-app-div', 'mass-app-div-annual', 'mass-l-rptr', 'mass-supp', 'rec-co-ct', 'rep-cont-el', 'rep-cont-elect-case', 'super-ct-jud']
2026-05-08 10:07:00 | INFO | case=1 | id=mass_5/html/0001-01.html | n_tokens=4390 | text=19.74KB | kv_est=342.97MB | pt=342.99MB | kv_time=1.472s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:01 | INFO | case=2 | id=mass_5/html/0008-01.html | n_tokens=13630 | text=59.46KB | kv_est=1.04GB | pt=1.04GB | kv_time=1.714s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:02 | INFO | case=3 | id=mass_5/html/0030-01.html | n_tokens=5385 | text=24.06KB | kv_est=420.70MB | pt=420.73MB | kv_time=0.929s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:03 | INFO | case=4 | id=mass_5/html/0039-01.html | n_tokens=3326 | text=14.63KB | kv_est=259.84MB | pt=259.87MB | kv_time=0.663s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:03 | INFO | case=5 | id=mass_5/html/0044-01.html | n_tokens=2706 | text=11.46KB | kv_est=211.41MB | pt=211.43MB | kv_time=0.328s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:04 | INFO | case=6 | id=mass_5/html/0049-01.html | n_tokens=6676 | text=28.68KB | kv_est=521.56MB | pt=521.59MB | kv_time=0.890s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:04 | INFO | case=7 | id=mass_5/html/0059-01.html | n_tokens=2572 | text=11.88KB | kv_est=200.94MB | pt=200.96MB | kv_time=0.298s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:05 | INFO | case=8 | id=mass_5/html/0064-01.html | n_tokens=1719 | text=7.14KB | kv_est=134.30MB | pt=134.32MB | kv_time=0.481s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:05 | INFO | case=9 | id=mass_5/html/0066-01.html | n_tokens=1650 | text=7.11KB | kv_est=128.91MB | pt=128.93MB | kv_time=0.201s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:06 | INFO | case=10 | id=mass_5/html/0069-01.html | n_tokens=1444 | text=6.01KB | kv_est=112.81MB | pt=112.84MB | kv_time=0.449s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:06 | INFO | case=11 | id=mass_5/html/0072-01.html | n_tokens=898 | text=3.82KB | kv_est=70.16MB | pt=70.18MB | kv_time=0.127s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:06 | INFO | case=12 | id=mass_5/html/0073-01.html | n_tokens=1145 | text=4.88KB | kv_est=89.45MB | pt=89.48MB | kv_time=0.193s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:06 | INFO | case=13 | id=mass_5/html/0075-01.html | n_tokens=1264 | text=5.69KB | kv_est=98.75MB | pt=98.77MB | kv_time=0.180s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:06 | INFO | case=14 | id=mass_5/html/0077-01.html | n_tokens=952 | text=4.12KB | kv_est=74.38MB | pt=74.40MB | kv_time=0.160s | gpu_alloc=6.35GB gpu_reserved=6.35GB
