id=mass_5/html/0341-01.html | n_tokens=17000 (truncated) | text=105.04KB | kv_est=1.30GB | pt=1.30GB
id=mass_50/html/0093-01.html | n_tokens=17000 (truncated) | text=87.99KB | kv_est=1.30GB | pt=1.30GB
id=mass_51/html/0525-01.html | n_tokens=17000 (truncated) | text=92.95KB | kv_est=1.30GB | pt=1.30GB
id=mass_53/html/0056-01.html | n_tokens=17000 (truncated) | text=78.92KB | kv_est=1.30GB | pt=1.30GB
id=mass_55/html/0189-01.html | n_tokens=17000 (truncated) | text=83.60KB | kv_est=1.30GB | pt=1.30GB
id=mass_55/html/0323-01.html | n_tokens=17000 (truncated) | text=135.54KB | kv_est=1.30GB | pt=1.30GB
id=mass_61/html/0053-01.html | n_tokens=17000 (truncated) | text=115.03KB | kv_est=1.30GB | pt=1.30GB
id=mass_62/html/0430-01.html | n_tokens=17000 (truncated) | text=94.06KB | kv_est=1.30GB | pt=1.30GB
id=mass_63/html/0427-01.html | n_tokens=17000 (truncated) | text=95.82KB | kv_est=1.30GB | pt=1.30GB
id=mass_67/html/0001-01.html | n_tokens=17000 (truncated) | text=113.11KB | kv_est=1.30GB | pt=1.30GB
id=mass_68/html/0001-01.html | n_tokens=17000 (truncated) | text=92.36KB | kv_est=1.30GB | pt=1.30GB
id=mass_69/html/0001-01.html | n_tokens=17000 (truncated) | text=148.00KB | kv_est=1.30GB | pt=1.30GB
id=mass_71/html/0185-01.html | n_tokens=17000 (truncated) | text=266.09KB | kv_est=1.30GB | pt=1.30GB
id=mass_74/html/0045-01.html | n_tokens=17000 (truncated) | text=90.21KB | kv_est=1.30GB | pt=1.30GB
id=mass_74/html/0329-01.html | n_tokens=17000 (truncated) | text=97.46KB | kv_est=1.30GB | pt=1.30GB
id=mass_75/html/0451-01.html | n_tokens=17000 (truncated) | text=202.88KB | kv_est=1.30GB | pt=1.30GB
id=mass_76/html/0173-01.html | n_tokens=17000 (truncated) | text=80.16KB | kv_est=1.30GB | pt=1.30GB
id=mass_76/html/0532-01.html | n_tokens=17000 (truncated) | text=78.41KB | kv_est=1.30GB | pt=1.30GB
id=mass_78/html/0288-01.html | n_tokens=17000 (truncated) | text=84.90KB | kv_est=1.30GB | pt=1.30GB
id=mass_8/html/0009-01.html | n_tokens=17000 (truncated) | text=96.30KB | kv_est=1.30GB | pt=1.30GB
id=mass_8/html/0142-01.html | n_tokens=17000 (truncated) | text=125.23KB | kv_est=1.30GB | pt=1.30GB
