2026-03-23 12:55:46 | INFO | case=1 | id=mass_5/html/0001-01.html | n_tokens=5021 | text=19.74KB | kv_est=1.53GB | pt=0.00B | kv_time=5.559s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:03 | INFO | case=2 | id=mass_5/html/0008-01.html | n_tokens=15135 | text=59.46KB | kv_est=4.62GB | pt=0.00B | kv_time=17.207s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:10 | INFO | case=3 | id=mass_5/html/0030-01.html | n_tokens=6077 | text=24.06KB | kv_est=1.85GB | pt=0.00B | kv_time=6.286s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:13 | INFO | case=4 | id=mass_5/html/0039-01.html | n_tokens=3824 | text=14.63KB | kv_est=1.17GB | pt=0.00B | kv_time=3.862s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:17 | INFO | case=5 | id=mass_5/html/0044-01.html | n_tokens=3085 | text=11.46KB | kv_est=964.06MB | pt=0.00B | kv_time=3.128s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:25 | INFO | case=6 | id=mass_5/html/0049-01.html | n_tokens=7743 | text=28.68KB | kv_est=2.36GB | pt=0.00B | kv_time=8.012s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:28 | INFO | case=7 | id=mass_5/html/0059-01.html | n_tokens=2977 | text=11.88KB | kv_est=930.31MB | pt=0.00B | kv_time=2.985s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:30 | INFO | case=8 | id=mass_5/html/0064-01.html | n_tokens=1973 | text=7.14KB | kv_est=616.56MB | pt=0.00B | kv_time=1.960s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:32 | INFO | case=9 | id=mass_5/html/0066-01.html | n_tokens=1989 | text=7.11KB | kv_est=621.56MB | pt=0.00B | kv_time=1.973s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:33 | INFO | case=10 | id=mass_5/html/0069-01.html | n_tokens=1687 | text=6.01KB | kv_est=527.19MB | pt=0.00B | kv_time=1.621s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:34 | INFO | case=11 | id=mass_5/html/0072-01.html | n_tokens=1041 | text=3.82KB | kv_est=325.31MB | pt=0.00B | kv_time=1.082s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:36 | INFO | case=12 | id=mass_5/html/0073-01.html | n_tokens=1320 | text=4.88KB | kv_est=412.50MB | pt=0.00B | kv_time=1.353s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:37 | INFO | case=13 | id=mass_5/html/0075-01.html | n_tokens=1405 | text=5.69KB | kv_est=439.06MB | pt=0.00B | kv_time=1.383s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:38 | INFO | case=14 | id=mass_5/html/0077-01.html | n_tokens=1117 | text=4.12KB | kv_est=349.06MB | pt=0.00B | kv_time=1.152s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:39 | INFO | case=15 | id=mass_5/html/0079-01.html | n_tokens=1223 | text=4.32KB | kv_est=382.19MB | pt=0.00B | kv_time=1.220s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:48 | INFO | case=16 | id=mass_5/html/0081-01.html | n_tokens=8539 | text=32.24KB | kv_est=2.61GB | pt=0.00B | kv_time=8.935s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:53 | INFO | case=17 | id=mass_5/html/0093-01.html | n_tokens=4966 | text=18.43KB | kv_est=1.52GB | pt=0.00B | kv_time=5.100s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:57 | INFO | case=18 | id=mass_5/html/0100-01.html | n_tokens=3167 | text=12.00KB | kv_est=989.69MB | pt=0.00B | kv_time=3.115s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:56:59 | INFO | case=19 | id=mass_5/html/0104-01.html | n_tokens=2561 | text=10.19KB | kv_est=800.31MB | pt=0.00B | kv_time=2.558s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:06 | INFO | case=20 | id=mass_5/html/0108-01.html | n_tokens=7047 | text=27.52KB | kv_est=2.15GB | pt=0.00B | kv_time=7.288s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:10 | INFO | case=21 | id=mass_5/html/0118-01.html | n_tokens=3968 | text=15.01KB | kv_est=1.21GB | pt=0.00B | kv_time=3.908s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:12 | INFO | case=22 | id=mass_5/html/0124-01.html | n_tokens=1479 | text=5.60KB | kv_est=462.19MB | pt=0.00B | kv_time=1.524s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:14 | INFO | case=23 | id=mass_5/html/0126-01.html | n_tokens=1932 | text=7.64KB | kv_est=603.75MB | pt=0.00B | kv_time=1.933s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:16 | INFO | case=24 | id=mass_5/html/0129-01.html | n_tokens=2375 | text=8.58KB | kv_est=742.19MB | pt=0.00B | kv_time=2.441s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:22 | INFO | case=25 | id=mass_5/html/0132-01.html | n_tokens=5554 | text=20.87KB | kv_est=1.69GB | pt=0.00B | kv_time=5.609s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:26 | INFO | case=26 | id=mass_5/html/0139-01.html | n_tokens=4006 | text=15.84KB | kv_est=1.22GB | pt=0.00B | kv_time=3.921s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:27 | INFO | case=27 | id=mass_5/html/0145-01.html | n_tokens=919 | text=3.54KB | kv_est=287.19MB | pt=0.00B | kv_time=0.968s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:29 | INFO | case=28 | id=mass_5/html/0146-01.html | n_tokens=2002 | text=7.49KB | kv_est=625.62MB | pt=0.00B | kv_time=1.975s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:30 | INFO | case=29 | id=mass_5/html/0149-01.html | n_tokens=951 | text=3.46KB | kv_est=297.19MB | pt=0.00B | kv_time=0.939s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:31 | INFO | case=30 | id=mass_5/html/0150-01.html | n_tokens=1370 | text=5.12KB | kv_est=428.12MB | pt=0.00B | kv_time=1.384s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:35 | INFO | case=31 | id=mass_5/html/0153-01.html | n_tokens=3999 | text=15.40KB | kv_est=1.22GB | pt=0.00B | kv_time=3.903s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:36 | INFO | case=32 | id=mass_5/html/0159-01.html | n_tokens=1306 | text=5.17KB | kv_est=408.12MB | pt=0.00B | kv_time=1.345s | gpu_alloc=30.45GB gpu_reserved=30.45GB
