2026-03-23 18:45:19 | INFO | case=1 | id=mass_56/html/0124-01.html | n_tokens=3734 | text=14.66KB | kv_est=1.14GB | pt=1.14GB | kv_time=5.506s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:21 | INFO | case=2 | id=mass_56/html/0130-01.html | n_tokens=1705 | text=6.90KB | kv_est=532.81MB | pt=532.83MB | kv_time=2.183s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:27 | INFO | case=3 | id=mass_56/html/0133-01.html | n_tokens=4313 | text=15.91KB | kv_est=1.32GB | pt=1.32GB | kv_time=5.637s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:30 | INFO | case=4 | id=mass_56/html/0141-01.html | n_tokens=2430 | text=8.70KB | kv_est=759.38MB | pt=759.40MB | kv_time=3.271s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:33 | INFO | case=5 | id=mass_56/html/0145-01.html | n_tokens=2417 | text=8.77KB | kv_est=755.31MB | pt=755.33MB | kv_time=3.029s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:34 | INFO | case=6 | id=mass_56/html/0149-01.html | n_tokens=835 | text=2.96KB | kv_est=260.94MB | pt=260.96MB | kv_time=1.173s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:36 | INFO | case=7 | id=mass_56/html/0151-01.html | n_tokens=956 | text=3.79KB | kv_est=298.75MB | pt=298.77MB | kv_time=1.302s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:39 | INFO | case=8 | id=mass_56/html/0153-01.html | n_tokens=2625 | text=10.13KB | kv_est=820.31MB | pt=820.33MB | kv_time=3.246s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:41 | INFO | case=9 | id=mass_56/html/0158-01.html | n_tokens=1049 | text=4.38KB | kv_est=327.81MB | pt=327.83MB | kv_time=1.340s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:50 | INFO | case=10 | id=mass_56/html/0160-01.html | n_tokens=7509 | text=27.69KB | kv_est=2.29GB | pt=2.29GB | kv_time=9.324s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:51 | INFO | case=11 | id=mass_56/html/0173-01.html | n_tokens=1231 | text=4.23KB | kv_est=384.69MB | pt=384.71MB | kv_time=1.529s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:55 | INFO | case=12 | id=mass_56/html/0175-01.html | n_tokens=2851 | text=11.02KB | kv_est=890.94MB | pt=890.96MB | kv_time=3.519s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:45:57 | INFO | case=13 | id=mass_56/html/0180-01.html | n_tokens=1717 | text=7.06KB | kv_est=536.56MB | pt=536.58MB | kv_time=2.292s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:46:02 | INFO | case=14 | id=mass_56/html/0184-01.html | n_tokens=4380 | text=15.92KB | kv_est=1.34GB | pt=1.34GB | kv_time=5.281s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:46:08 | INFO | case=15 | id=mass_56/html/0191-01.html | n_tokens=4727 | text=17.28KB | kv_est=1.44GB | pt=1.44GB | kv_time=5.690s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:46:17 | INFO | case=16 | id=mass_56/html/0199-01.html | n_tokens=6527 | text=25.58KB | kv_est=1.99GB | pt=1.99GB | kv_time=8.689s | gpu_alloc=30.45GB gpu_reserved=30.45GB
